second_pass_family,left_field,left_family,right_field,right_family,left_transform,right_transform,operator,blueprint_id
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,mark_index_basis_bps,basis_premium,zscore_168h,zscore_168h,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_zscore_168h_Sub_mark_index_basis_bps_zscore_168h
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,mark_index_basis_bps,basis_premium,tsrank_168h,delta_24h,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_tsrank_168h_Sub_mark_index_basis_bps_delta_24h
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,mark_index_basis_bps,basis_premium,tsrank_168h,spread_short_long,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_tsrank_168h_Sub_mark_index_basis_bps_spread_short_long
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,mark_index_basis_bps,basis_premium,shock_24h,zscore_168h,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_shock_24h_Sub_mark_index_basis_bps_zscore_168h
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,mark_trade_basis_bps,basis_premium,zscore_168h,delta_24h,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_zscore_168h_Sub_mark_trade_basis_bps_delta_24h
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,mark_trade_basis_bps,basis_premium,zscore_168h,spread_short_long,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_zscore_168h_Sub_mark_trade_basis_bps_spread_short_long
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,mark_trade_basis_bps,basis_premium,tsrank_168h,zscore_168h,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_tsrank_168h_Sub_mark_trade_basis_bps_zscore_168h
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,mark_trade_basis_bps,basis_premium,shock_24h,delta_24h,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_shock_24h_Sub_mark_trade_basis_bps_delta_24h
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,mark_trade_basis_bps,basis_premium,shock_24h,spread_short_long,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_shock_24h_Sub_mark_trade_basis_bps_spread_short_long
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,basis_abs_168h,basis_premium,zscore_168h,zscore_168h,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_zscore_168h_Sub_basis_abs_168h_zscore_168h
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,basis_abs_168h,basis_premium,tsrank_168h,delta_24h,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_tsrank_168h_Sub_basis_abs_168h_delta_24h
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,basis_abs_168h,basis_premium,tsrank_168h,spread_short_long,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_tsrank_168h_Sub_basis_abs_168h_spread_short_long
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,basis_abs_168h,basis_premium,shock_24h,zscore_168h,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_shock_24h_Sub_basis_abs_168h_zscore_168h
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,premium_abs_168h,basis_premium,zscore_168h,delta_24h,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_zscore_168h_Sub_premium_abs_168h_delta_24h
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,premium_abs_168h,basis_premium,zscore_168h,spread_short_long,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_zscore_168h_Sub_premium_abs_168h_spread_short_long
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,premium_abs_168h,basis_premium,tsrank_168h,zscore_168h,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_tsrank_168h_Sub_premium_abs_168h_zscore_168h
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,premium_abs_168h,basis_premium,shock_24h,delta_24h,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_shock_24h_Sub_premium_abs_168h_delta_24h
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,premium_abs_168h,basis_premium,shock_24h,spread_short_long,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_shock_24h_Sub_premium_abs_168h_spread_short_long
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,global_long_short_account_ratio_last,positioning,zscore_168h,zscore_168h,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_zscore_168h_Sub_global_long_short_account_ratio_last_zscore_168h
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,global_long_short_account_ratio_last,positioning,tsrank_168h,delta_24h,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_tsrank_168h_Sub_global_long_short_account_ratio_last_delta_24h
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,global_long_short_account_ratio_last,positioning,tsrank_168h,spread_short_long,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_tsrank_168h_Sub_global_long_short_account_ratio_last_spread_short_long
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,global_long_short_account_ratio_last,positioning,shock_24h,zscore_168h,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_shock_24h_Sub_global_long_short_account_ratio_last_zscore_168h
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,top_long_short_account_ratio_last,positioning,zscore_168h,delta_24h,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_zscore_168h_Sub_top_long_short_account_ratio_last_delta_24h
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,top_long_short_account_ratio_last,positioning,zscore_168h,spread_short_long,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_zscore_168h_Sub_top_long_short_account_ratio_last_spread_short_long
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,top_long_short_account_ratio_last,positioning,tsrank_168h,zscore_168h,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_tsrank_168h_Sub_top_long_short_account_ratio_last_zscore_168h
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,top_long_short_account_ratio_last,positioning,shock_24h,delta_24h,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_shock_24h_Sub_top_long_short_account_ratio_last_delta_24h
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,top_long_short_account_ratio_last,positioning,shock_24h,spread_short_long,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_shock_24h_Sub_top_long_short_account_ratio_last_spread_short_long
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,top_long_short_position_ratio_last,positioning,zscore_168h,zscore_168h,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_zscore_168h_Sub_top_long_short_position_ratio_last_zscore_168h
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,top_long_short_position_ratio_last,positioning,tsrank_168h,delta_24h,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_tsrank_168h_Sub_top_long_short_position_ratio_last_delta_24h
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,top_long_short_position_ratio_last,positioning,tsrank_168h,spread_short_long,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_tsrank_168h_Sub_top_long_short_position_ratio_last_spread_short_long
H1_I5_deconcentration,liquidity_rank_active_universe,liquidity,top_long_short_position_ratio_last,positioning,shock_24h,zscore_168h,Sub,core16he_H1_I5_deconcentration_liquidity_rank_active_universe_shock_24h_Sub_top_long_short_position_ratio_last_zscore_168h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,premium_close_bps,basis_premium,zscore_168h,delta_24h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_zscore_168h_Sub_premium_close_bps_delta_24h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,premium_close_bps,basis_premium,zscore_168h,spread_short_long,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_zscore_168h_Sub_premium_close_bps_spread_short_long
H1_I5_deconcentration,median_quote_volume_168h,liquidity,premium_close_bps,basis_premium,tsrank_168h,zscore_168h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_tsrank_168h_Sub_premium_close_bps_zscore_168h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,premium_close_bps,basis_premium,shock_24h,delta_24h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_shock_24h_Sub_premium_close_bps_delta_24h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,premium_close_bps,basis_premium,shock_24h,spread_short_long,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_shock_24h_Sub_premium_close_bps_spread_short_long
H1_I5_deconcentration,median_quote_volume_168h,liquidity,mark_index_basis_bps,basis_premium,zscore_168h,zscore_168h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_zscore_168h_Sub_mark_index_basis_bps_zscore_168h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,mark_index_basis_bps,basis_premium,tsrank_168h,delta_24h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_tsrank_168h_Sub_mark_index_basis_bps_delta_24h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,mark_index_basis_bps,basis_premium,tsrank_168h,spread_short_long,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_tsrank_168h_Sub_mark_index_basis_bps_spread_short_long
H1_I5_deconcentration,median_quote_volume_168h,liquidity,mark_index_basis_bps,basis_premium,shock_24h,zscore_168h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_shock_24h_Sub_mark_index_basis_bps_zscore_168h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,mark_trade_basis_bps,basis_premium,zscore_168h,delta_24h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_zscore_168h_Sub_mark_trade_basis_bps_delta_24h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,mark_trade_basis_bps,basis_premium,zscore_168h,spread_short_long,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_zscore_168h_Sub_mark_trade_basis_bps_spread_short_long
H1_I5_deconcentration,median_quote_volume_168h,liquidity,mark_trade_basis_bps,basis_premium,tsrank_168h,zscore_168h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_tsrank_168h_Sub_mark_trade_basis_bps_zscore_168h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,mark_trade_basis_bps,basis_premium,shock_24h,delta_24h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_shock_24h_Sub_mark_trade_basis_bps_delta_24h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,mark_trade_basis_bps,basis_premium,shock_24h,spread_short_long,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_shock_24h_Sub_mark_trade_basis_bps_spread_short_long
H1_I5_deconcentration,median_quote_volume_168h,liquidity,basis_abs_168h,basis_premium,zscore_168h,zscore_168h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_zscore_168h_Sub_basis_abs_168h_zscore_168h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,basis_abs_168h,basis_premium,tsrank_168h,delta_24h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_tsrank_168h_Sub_basis_abs_168h_delta_24h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,basis_abs_168h,basis_premium,tsrank_168h,spread_short_long,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_tsrank_168h_Sub_basis_abs_168h_spread_short_long
H1_I5_deconcentration,median_quote_volume_168h,liquidity,basis_abs_168h,basis_premium,shock_24h,zscore_168h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_shock_24h_Sub_basis_abs_168h_zscore_168h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,premium_abs_168h,basis_premium,zscore_168h,delta_24h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_zscore_168h_Sub_premium_abs_168h_delta_24h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,premium_abs_168h,basis_premium,zscore_168h,spread_short_long,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_zscore_168h_Sub_premium_abs_168h_spread_short_long
H1_I5_deconcentration,median_quote_volume_168h,liquidity,premium_abs_168h,basis_premium,tsrank_168h,zscore_168h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_tsrank_168h_Sub_premium_abs_168h_zscore_168h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,premium_abs_168h,basis_premium,shock_24h,delta_24h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_shock_24h_Sub_premium_abs_168h_delta_24h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,premium_abs_168h,basis_premium,shock_24h,spread_short_long,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_shock_24h_Sub_premium_abs_168h_spread_short_long
H1_I5_deconcentration,median_quote_volume_168h,liquidity,global_long_short_account_ratio_last,positioning,zscore_168h,zscore_168h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_zscore_168h_Sub_global_long_short_account_ratio_last_zscore_168h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,global_long_short_account_ratio_last,positioning,tsrank_168h,delta_24h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_tsrank_168h_Sub_global_long_short_account_ratio_last_delta_24h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,global_long_short_account_ratio_last,positioning,tsrank_168h,spread_short_long,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_tsrank_168h_Sub_global_long_short_account_ratio_last_spread_short_long
H1_I5_deconcentration,median_quote_volume_168h,liquidity,global_long_short_account_ratio_last,positioning,shock_24h,zscore_168h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_shock_24h_Sub_global_long_short_account_ratio_last_zscore_168h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,top_long_short_account_ratio_last,positioning,zscore_168h,delta_24h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_zscore_168h_Sub_top_long_short_account_ratio_last_delta_24h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,top_long_short_account_ratio_last,positioning,zscore_168h,spread_short_long,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_zscore_168h_Sub_top_long_short_account_ratio_last_spread_short_long
H1_I5_deconcentration,median_quote_volume_168h,liquidity,top_long_short_account_ratio_last,positioning,tsrank_168h,zscore_168h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_tsrank_168h_Sub_top_long_short_account_ratio_last_zscore_168h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,top_long_short_account_ratio_last,positioning,shock_24h,delta_24h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_shock_24h_Sub_top_long_short_account_ratio_last_delta_24h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,top_long_short_account_ratio_last,positioning,shock_24h,spread_short_long,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_shock_24h_Sub_top_long_short_account_ratio_last_spread_short_long
H1_I5_deconcentration,median_quote_volume_168h,liquidity,top_long_short_position_ratio_last,positioning,zscore_168h,zscore_168h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_zscore_168h_Sub_top_long_short_position_ratio_last_zscore_168h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,top_long_short_position_ratio_last,positioning,tsrank_168h,delta_24h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_tsrank_168h_Sub_top_long_short_position_ratio_last_delta_24h
H1_I5_deconcentration,median_quote_volume_168h,liquidity,top_long_short_position_ratio_last,positioning,tsrank_168h,spread_short_long,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_tsrank_168h_Sub_top_long_short_position_ratio_last_spread_short_long
H1_I5_deconcentration,median_quote_volume_168h,liquidity,top_long_short_position_ratio_last,positioning,shock_24h,zscore_168h,Sub,core16he_H1_I5_deconcentration_median_quote_volume_168h_shock_24h_Sub_top_long_short_position_ratio_last_zscore_168h
H1_I5_deconcentration,trade_quote_volume,liquidity,premium_close_bps,basis_premium,zscore_168h,zscore_168h,Mul,core16he_H1_I5_deconcentration_trade_quote_volume_zscore_168h_Mul_premium_close_bps_zscore_168h
H1_I5_deconcentration,trade_quote_volume,liquidity,premium_close_bps,basis_premium,tsrank_168h,delta_24h,Mul,core16he_H1_I5_deconcentration_trade_quote_volume_tsrank_168h_Mul_premium_close_bps_delta_24h
H1_I5_deconcentration,trade_quote_volume,liquidity,premium_close_bps,basis_premium,tsrank_168h,spread_short_long,Mul,core16he_H1_I5_deconcentration_trade_quote_volume_tsrank_168h_Mul_premium_close_bps_spread_short_long
H1_I5_deconcentration,trade_quote_volume,liquidity,premium_close_bps,basis_premium,shock_24h,zscore_168h,Mul,core16he_H1_I5_deconcentration_trade_quote_volume_shock_24h_Mul_premium_close_bps_zscore_168h
H1_I5_deconcentration,trade_quote_volume,liquidity,mark_index_basis_bps,basis_premium,zscore_168h,delta_24h,Mul,core16he_H1_I5_deconcentration_trade_quote_volume_zscore_168h_Mul_mark_index_basis_bps_delta_24h
H1_I5_deconcentration,trade_quote_volume,liquidity,mark_index_basis_bps,basis_premium,zscore_168h,spread_short_long,Mul,core16he_H1_I5_deconcentration_trade_quote_volume_zscore_168h_Mul_mark_index_basis_bps_spread_short_long
H1_I5_deconcentration,trade_quote_volume,liquidity,mark_index_basis_bps,basis_premium,tsrank_168h,zscore_168h,Mul,core16he_H1_I5_deconcentration_trade_quote_volume_tsrank_168h_Mul_mark_index_basis_bps_zscore_168h
H1_I5_deconcentration,trade_quote_volume,liquidity,mark_index_basis_bps,basis_premium,shock_24h,delta_24h,Mul,core16he_H1_I5_deconcentration_trade_quote_volume_shock_24h_Mul_mark_index_basis_bps_delta_24h
H1_I5_deconcentration,trade_quote_volume,liquidity,mark_index_basis_bps,basis_premium,shock_24h,spread_short_long,Mul,core16he_H1_I5_deconcentration_trade_quote_volume_shock_24h_Mul_mark_index_basis_bps_spread_short_long
